,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,1,1.0052446752786637,0.62075,20.501179218292236,25.534687042236328,0.01,1000
1,1,2,0.5174464628100395,0.7974166666666667,19.841941595077515,45.684804916381836,0.01,1000
2,1,3,0.43345467497905094,0.8391,20.14513087272644,66.16304540634155,0.01,1000
3,1,4,0.38524431437253953,0.8591333333333333,19.99254012107849,86.44481253623962,0.01,1000
4,1,5,0.34864951769510905,0.8714833333333334,20.77644419670105,107.51746392250061,0.01,1000
5,2,1,1.2514048020044963,0.5085333333333333,17.297743320465088,19.953641414642334,0.01,2000
6,2,2,0.6184268375237783,0.7559833333333333,16.898811101913452,37.109766721725464,0.01,2000
7,2,3,0.5101151645183564,0.8043,17.0244722366333,54.394546031951904,0.01,2000
8,2,4,0.4467425356308619,0.8359166666666666,17.164104223251343,71.80299592018127,0.01,2000
9,2,5,0.39923787117004395,0.8546,17.120219230651855,89.20047330856323,0.01,2000
